requirement_id,priority,release,source_section,requirement,planned_test,implementation,status
AUTH-01,Must,R2,۱۰.۱ هویت، عضویت و ورود,سامانه باید عضویت و ورود را با شماره همراه و رمز یک‌بارمصرف انجام دهد و رمز عبور دائمی نداشته باشد.,T-AUTH-01,apps/api/src/app.ts;packages/contracts/src/index.ts;PROGRESS.md,Implemented
AUTH-02,Must,R2,۱۰.۱ هویت، عضویت و ورود,شماره همراه باید پیش از ایجاد حساب تأیید شود.,T-AUTH-02,apps/api/src/app.ts;packages/db/src/schema.ts,Implemented
AUTH-03,Must,R2,۱۰.۱ هویت، عضویت و ورود,ارسال OTP باید دارای محدودیت نرخ، زمان انقضا و سقف تلاش ناموفق باشد.,T-AUTH-03,apps/api/src/app.ts;packages/config/src/index.ts,Implemented
AUTH-04,Must,R2,۱۰.۱ هویت، عضویت و ورود,حساب باید به یک شخص حقیقی به‌عنوان رابط یک یا چند شخص حقوقی متصل باشد.,T-AUTH-04,apps/api/src/app.ts;packages/db/src/schema.ts,Implemented
AUTH-05,Must,R2,۱۰.۱ هویت، عضویت و ورود,در عضویت اولیه نام، نام خانوادگی، نام سازمان، سمت و ایمیل دریافت شود.,T-AUTH-05,apps/web/src/components/RequestFlow.tsx;apps/api/src/app.ts,Implemented
AUTH-06,Should,R2,۱۰.۱ هویت، عضویت و ورود,ایمیل پیش از پرداخت نخستین سفارش تأیید شود.,T-AUTH-06,apps/api/src/app.ts,Implemented
AUTH-07,Must,R2,۱۰.۱ هویت، عضویت و ورود,کاربر بتواند خروج امن انجام دهد و نشست‌ها زمان انقضای قابل تنظیم داشته باشند.,T-AUTH-07,apps/api/src/app.ts;packages/config/src/index.ts,Implemented
AUTH-08,Must,R2,۱۰.۱ هویت، عضویت و ورود,کاربر بتواند رضایت خود با شرایط و حریم خصوصی را با نسخه و زمان ثبت کند.,T-AUTH-08,apps/api/src/app.ts;packages/db/src/schema.ts,Implemented
ORG-01,Must,R2,۱۰.۲ پروفایل و سازمان,نوع سازمان باید یکی از خصوصی، عمومی یا دولتی باشد.,T-ORG-01,packages/contracts/src/index.ts;packages/db/src/schema.ts,Implemented
ORG-02,Must,R2,۱۰.۲ پروفایل و سازمان,در مرحله اولیه نام رایج سازمان کافی است.,T-ORG-02,apps/web/src/components/RequestFlow.tsx;apps/api/src/app.ts,Implemented
ORG-03,Must,R2,۱۰.۲ پروفایل و سازمان,پیش از پرداخت، نام ثبتی و شناسه ملی سازمان الزامی شود.,T-ORG-03,apps/api/src/app.ts;packages/contracts/src/index.ts,Implemented
ORG-04,Must,R2,۱۰.۲ پروفایل و سازمان,اطلاعات لازم برای صورتحساب در مرحله پرداخت تکمیل شود.,T-ORG-04,apps/api/src/app.ts;packages/db/src/schema.ts,Implemented
ORG-05,Must,R2,۱۰.۲ پروفایل و سازمان,نماینده باید تأیید کند رابط یا نماینده سازمان است؛ بارگذاری مدرک نمایندگی در MVP لازم نیست.,T-ORG-05,apps/web/src/components/RequestFlow.tsx;apps/api/src/app.ts,Implemented
ORG-06,Should,R2,۱۰.۲ پروفایل و سازمان,کاربر بتواند اطلاعات پایه خود را ویرایش کند؛ تغییر شماره همراه نیازمند تأیید مجدد باشد.,T-ORG-06,apps/web/src/components/AccountPanel.tsx;apps/api/src/app.ts,Implemented
REQ-01,Must,R2,۱۰.۳ ثبت درخواست,فرم نباید کاربر را ملزم به انتخاب خدمت تخصصی کند.,T-REQ-01,apps/web/src/components/RequestFlow.tsx,Implemented
REQ-02,Must,R2,۱۰.۳ ثبت درخواست,فرم باید عنوان کوتاه و شرح آزاد مسئله را دریافت کند.,T-REQ-02,apps/web/src/components/RequestFlow.tsx;packages/contracts/src/index.ts,Implemented
